bank_id,course_family,unit,section,destination,destination_group,destination_slot,spiral_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U7-S1-NOTE-EX01,MATH,7,7.1,notes_example,notes,pair_1_ex,current,1,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",verbal_to_de,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U7-S1-NOTE-YTI01,MATH,7,7.1,notes_you_try_it,notes,pair_1_yti,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",solution_verification_exponential,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U7-S1-NOTE-EX02,MATH,7,7.1,notes_example,notes,pair_2_ex,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",solution_verification_exponential,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U7-S1-NOTE-YTI02,MATH,7,7.1,notes_you_try_it,notes,pair_2_yti,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",solution_verification_polynomial,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U7-S1-NOTE-EX03,MATH,7,7.1,notes_example,notes,pair_3_ex,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",solution_verification_polynomial,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U7-S1-NOTE-YTI03,MATH,7,7.1,notes_you_try_it,notes,pair_3_yti,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",context_rate_model,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U7-S1-NOTE-EX04,MATH,7,7.1,notes_example,notes,pair_4_ex,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",context_rate_model,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
U7-S1-NOTE-YTI04,MATH,7,7.1,notes_you_try_it,notes,pair_4_yti,current,1,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",de_recognition,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; YTI.
U7-S2-NOTE-EX01,MATH,7,7.2,notes_example,notes,pair_1_ex,current,2,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",slope_field_horizontal_locus,line,u7_s2_note_ex01_slope_field.png,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U7-S2-NOTE-YTI01,MATH,7,7.2,notes_you_try_it,notes,pair_1_yti,current,1,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",local_slope_from_de,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U7-S2-NOTE-EX02,MATH,7,7.2,notes_example,notes,pair_2_ex,current,1,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",local_slope_from_de,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U7-S2-NOTE-YTI02,MATH,7,7.2,notes_you_try_it,notes,pair_2_yti,current,2,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",solution_curve_initial_direction,text,u7_s2_note_yti02_solution_tendency.png,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U7-S2-NOTE-EX03,MATH,7,7.2,notes_example,notes,pair_3_ex,current,2,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",solution_curve_initial_direction,text,u7_s2_note_ex03_solution_tendency.png,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U7-S2-NOTE-YTI03,MATH,7,7.2,notes_you_try_it,notes,pair_3_yti,current,2,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",field_equation_match,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U7-S2-NOTE-EX04,MATH,7,7.2,notes_example,notes,pair_4_ex,current,2,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",field_equation_match,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
U7-S2-NOTE-YTI04,MATH,7,7.2,notes_you_try_it,notes,pair_4_yti,current,2,"Sketch and interpret slope fields, connect local slope behavior to differential equations, and reason about solution curves graphically.","I can read local slopes from a slope field, match a field to a differential equation, and sketch or describe a solution curve through an initial point.","AP Topics 7.3, 7.4",slope_field_table,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; YTI.
U7-S3-NOTE-EX01,MATH,7,7.3,notes_example,notes,pair_1_ex,current,2,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separable_xy,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U7-S3-NOTE-YTI01,MATH,7,7.3,notes_you_try_it,notes,pair_1_yti,current,2,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separable_exponential_family,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U7-S3-NOTE-EX02,MATH,7,7.3,notes_example,notes,pair_2_ex,current,2,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separable_exponential_family,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U7-S3-NOTE-YTI02,MATH,7,7.3,notes_you_try_it,notes,pair_2_yti,current,2,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separable_inverse_tangent,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U7-S3-NOTE-EX03,MATH,7,7.3,notes_example,notes,pair_3_ex,current,2,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separable_inverse_tangent,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U7-S3-NOTE-YTI03,MATH,7,7.3,notes_you_try_it,notes,pair_3_yti,current,1,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separation_notation,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U7-S3-NOTE-EX04,MATH,7,7.3,notes_example,notes,pair_4_ex,current,1,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,separation_notation,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
