Meaning of $x\to2$, inputs approach 2
Meaning of $x\to2^-$, inputs approach 2 from the left
Meaning of $x\to2^+$, inputs approach 2 from the right
$\lim_{x\to3}(2x+1)$, 7
$\lim_{x\to-1}(x^2+2)$, 3
Average rate formula, change in output over change in input
Secant line, line through two points on a curve
Tangent slope idea, limit of secant slopes
If nearby outputs approach 5, limit 5
If $f(2)=9$ but nearby values approach 4, limit 4
Target value in $\lim_{x\to a}f(x)$, a
Approach value in $\lim_{x\to a}f(x)=L$, L
Two-sided approach, from left and right
A missing point can still have, an existing limit
For $f(x)=x^2$ secant from 1 to 2, slope 3
For $f(x)=x^2$ secant from 2 to 3, slope 5
As h gets closer to 0, secant slope may approach tangent slope
Limit notation symbol, lim
