bank_id,pm_family,course,unit,section,destination,destination_group,destination_slot,retrieval_stage_or_scope,mastery_goal_id,evidence_point_id,summative_version,blueprint_slot_id,question_family_id,variation_mode,task_architecture,dok,learning_target,i_can,practice_standard,item_type,answer_type,security_level,estimated_time_sec,figure_files,figure_source,graph_tool_type,source_basis,notes
U1-S1-WTC01,AP/SCI,AP Calculus AB,1,1.1,What's To Come,What's To Come,WTC01,current-section,U1-MG01,,,,,,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,constructed-response,short response,instructional,180,u1_s1_hole.png,graph_tool,TYPE 10,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-WTC01,AP/SCI,AP Calculus AB,1,1.2,What's To Come,What's To Come,WTC01,current-section,U1-MG01,,,,,,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Interpretation Across Representations,constructed-response,short response,instructional,180,u1_s2_jump.png,graph_tool,TYPE 10,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-WTC01,AP/SCI,AP Calculus AB,1,1.3,What's To Come,What's To Come,WTC01,current-section,U1-MG02,,,,,,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Justification and Theorem Conditions,constructed-response,short response,instructional,180,u1_s3_squeeze.png,graph_tool,TYPE 1,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-WTC01,AP/SCI,AP Calculus AB,1,1.4,What's To Come,What's To Come,WTC01,current-section,U1-MG03,,,,,,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Interpretation Across Representations,constructed-response,short response,instructional,180,u1_s4_piecewise.png,graph_tool,TYPE 10,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-WTC01,AP/SCI,AP Calculus AB,1,1.5,What's To Come,What's To Come,WTC01,current-section,U1-MG04,,,,,,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Justification and Theorem Conditions,constructed-response,short response,instructional,180,u1_s5_asymptote.png,graph_tool,TYPE 1,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-EX01,AP/SCI,AP Calculus AB,1,1.1,Notes Example,Notes Example,EX01,current-section,U1-MG01,,,,U1-S1-NOTE-FAM01,,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-YTI01,AP/SCI,AP Calculus AB,1,1.1,Notes YTI,Notes YTI,YTI01,current-section,U1-MG01,,,,U1-S1-NOTE-FAM01,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-EX02,AP/SCI,AP Calculus AB,1,1.1,Notes Example,Notes Example,EX02,current-section,U1-MG01,,,,U1-S1-NOTE-FAM02,,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Notation and Mathematical Communication,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-YTI02,AP/SCI,AP Calculus AB,1,1.1,Notes YTI,Notes YTI,YTI02,current-section,U1-MG01,,,,U1-S1-NOTE-FAM02,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Notation and Mathematical Communication,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-EX03,AP/SCI,AP Calculus AB,1,1.1,Notes Example,Notes Example,EX03,current-section,U1-MG01,,,,U1-S1-NOTE-FAM03,,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
