bank_id,course_family,course_profile,unit,section,destination,destination_group,destination_slot,retrieval_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U1-S1-WTC01,MATH,MATH_AP_CALCULUS,1,1.1,whats_to_come,notes,WTC01,n-a,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,u1_s1_wtc01_secant_preview.png,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Preview: shrinking secants and local rate.
U1-S2-WTC01,MATH,MATH_AP_CALCULUS,1,1.2,whats_to_come,notes,WTC01,n-a,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,u1_s2_wtc01_graph_table_preview.png,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-WTC01,MATH,MATH_AP_CALCULUS,1,1.3,whats_to_come,notes,WTC01,n-a,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-WTC01,MATH,MATH_AP_CALCULUS,1,1.4,whats_to_come,notes,WTC01,n-a,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-WTC01,MATH,MATH_AP_CALCULUS,1,1.5,whats_to_come,notes,WTC01,n-a,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S1-NOTE-EX01,MATH,MATH_AP_CALCULUS,1,1.1,notes_example,notes,EX01,current,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Worked instructional example.
U1-S1-NOTE-YTI01,MATH,MATH_AP_CALCULUS,1,1.1,notes_yti,notes,YTI01,current,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,"Parallel, independently authored You Try It."
U1-S1-NOTE-EX02,MATH,MATH_AP_CALCULUS,1,1.1,notes_example,notes,EX02,current,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Worked instructional example.
U1-S1-NOTE-YTI02,MATH,MATH_AP_CALCULUS,1,1.1,notes_yti,notes,YTI02,current,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,"Parallel, independently authored You Try It."
U1-S1-NOTE-EX03,MATH,MATH_AP_CALCULUS,1,1.1,notes_example,notes,EX03,current,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Worked instructional example.
U1-S1-NOTE-YTI03,MATH,MATH_AP_CALCULUS,1,1.1,notes_yti,notes,YTI03,current,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,"Parallel, independently authored You Try It."
U1-S2-NOTE-EX01,MATH,MATH_AP_CALCULUS,1,1.2,notes_example,notes,EX01,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-YTI01,MATH,MATH_AP_CALCULUS,1,1.2,notes_yti,notes,YTI01,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-EX02,MATH,MATH_AP_CALCULUS,1,1.2,notes_example,notes,EX02,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-YTI02,MATH,MATH_AP_CALCULUS,1,1.2,notes_yti,notes,YTI02,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-EX03,MATH,MATH_AP_CALCULUS,1,1.2,notes_example,notes,EX03,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-YTI03,MATH,MATH_AP_CALCULUS,1,1.2,notes_yti,notes,YTI03,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-EX04,MATH,MATH_AP_CALCULUS,1,1.2,notes_example,notes,EX04,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S2-NOTE-YTI04,MATH,MATH_AP_CALCULUS,1,1.2,notes_yti,notes,YTI04,current,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","AP Topics 1.3, 1.4, 1.9",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-EX01,MATH,MATH_AP_CALCULUS,1,1.3,notes_example,notes,EX01,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-YTI01,MATH,MATH_AP_CALCULUS,1,1.3,notes_yti,notes,YTI01,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-EX02,MATH,MATH_AP_CALCULUS,1,1.3,notes_example,notes,EX02,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-YTI02,MATH,MATH_AP_CALCULUS,1,1.3,notes_yti,notes,YTI02,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-EX03,MATH,MATH_AP_CALCULUS,1,1.3,notes_example,notes,EX03,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-YTI03,MATH,MATH_AP_CALCULUS,1,1.3,notes_yti,notes,YTI03,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-EX04,MATH,MATH_AP_CALCULUS,1,1.3,notes_example,notes,EX04,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S3-NOTE-YTI04,MATH,MATH_AP_CALCULUS,1,1.3,notes_yti,notes,YTI04,current,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","AP Topics 1.5, 1.6, 1.7, 1.8",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-EX01,MATH,MATH_AP_CALCULUS,1,1.4,notes_example,notes,EX01,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-YTI01,MATH,MATH_AP_CALCULUS,1,1.4,notes_yti,notes,YTI01,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-EX02,MATH,MATH_AP_CALCULUS,1,1.4,notes_example,notes,EX02,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-YTI02,MATH,MATH_AP_CALCULUS,1,1.4,notes_yti,notes,YTI02,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-EX03,MATH,MATH_AP_CALCULUS,1,1.4,notes_example,notes,EX03,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-YTI03,MATH,MATH_AP_CALCULUS,1,1.4,notes_yti,notes,YTI03,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-EX04,MATH,MATH_AP_CALCULUS,1,1.4,notes_example,notes,EX04,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S4-NOTE-YTI04,MATH,MATH_AP_CALCULUS,1,1.4,notes_yti,notes,YTI04,current,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","AP Topics 1.10, 1.11, 1.12, 1.13",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-EX01,MATH,MATH_AP_CALCULUS,1,1.5,notes_example,notes,EX01,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-YTI01,MATH,MATH_AP_CALCULUS,1,1.5,notes_yti,notes,YTI01,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-EX02,MATH,MATH_AP_CALCULUS,1,1.5,notes_example,notes,EX02,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-YTI02,MATH,MATH_AP_CALCULUS,1,1.5,notes_yti,notes,YTI02,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-EX03,MATH,MATH_AP_CALCULUS,1,1.5,notes_example,notes,EX03,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-YTI03,MATH,MATH_AP_CALCULUS,1,1.5,notes_yti,notes,YTI03,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-EX04,MATH,MATH_AP_CALCULUS,1,1.5,notes_example,notes,EX04,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S5-NOTE-YTI04,MATH,MATH_AP_CALCULUS,1,1.5,notes_yti,notes,YTI04,current,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","AP Topics 1.14, 1.15, 1.16",constructed_response,exact_or_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,
U1-S1-PS1-Q01,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q01,current-section,1,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q02,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q02,current-section,1,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",short_answer,exact,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q03,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q03,current-section,1,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",table_short_answer,estimate,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q04,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q04,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",graph_constructed,exact_and_explanation,u1_s1_ps1_q04_point_vs_limit.png,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q05,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q05,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_with_units,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q06,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q06,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",table_constructed,estimate,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q07,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q07,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q08,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q08,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",context_constructed,interpretation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q09,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q09,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",table_constructed,estimate_and_explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q10,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q10,current-section,3,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",claim_critique,explanation,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q11,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q11,current-section,1,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",multiple_choice,choice,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q12,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q12,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",constructed_response,exact_and_reason,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q13,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q13,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",context_constructed,exact_with_units,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q14,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q14,current-section,1,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",short_explanation,exact_and_reason,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
U1-S1-PS1-Q15,MATH,MATH_AP_CALCULUS,1,1.1,practice_set_1,practice,Q15,current-section,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,"AP Topics 1.1, 1.2",representation_constructed,exact,,Assessment Plan + Framework + supplied AP Topic Questions as style benchmark,Full section-focused AP Calculus practice form; earlier Unit 1 ideas appear only when prerequisite/integrated.
