vertical asymptote notation, x equals a
horizontal asymptote notation, y equals L
infinite limit describes, unbounded local behavior
limit at infinity describes, end behavior
IVT requires, continuity on a closed interval
IVT target must lie, between endpoint function values
IVT guarantees, at least one matching input
IVT does not guarantee, a unique input
horizontal asymptote may be, crossed
vertical asymptote may occur where, function is undefined
$\lim_{x\to\infty}f(x)=2$, horizontal asymptote y=2
$\lim_{x\to3^+}f(x)=+\infty$, right-side unbounded increase
continuity plus endpoint sign change, a zero exists by IVT
as x tends to negative infinity, left end behavior
as x tends to positive infinity, right end behavior
infinite limit value infinity, is not an attained real value
IVT conclusion uses, some c in the open interval
missing continuity hypothesis, IVT cannot be applied
